region,date,year,month,mean_ndvi,median_ndvi,stress_share,high_health_share,valid_pixels,bbox
California Central Valley,2016-06-01,2016,6,0.4033038914203644,0.38635000586509705,0.3359824925132458,0.1752668355985564,26046,"-122.8,35.0,-118.2,40.4"
California Central Valley,2016-07-01,2016,7,0.38908663392066956,0.3638499975204468,0.38029409512139084,0.1697173929692885,26114,"-122.8,35.0,-118.2,40.4"
California Central Valley,2016-08-01,2016,8,0.3777185082435608,0.3488500118255615,0.40401563338186836,0.154264694612614,26098,"-122.8,35.0,-118.2,40.4"
California Central Valley,2016-09-01,2016,9,0.3678383231163025,0.3413499891757965,0.4157372273964202,0.13675213675213677,26091,"-122.8,35.0,-118.2,40.4"
California Central Valley,2016-10-01,2016,10,0.38307473063468933,0.3713499903678894,0.3659685262472719,0.14511620783397786,26117,"-122.8,35.0,-118.2,40.4"
California Central Valley,2016-11-01,2016,11,0.41899576783180237,0.42384999990463257,0.31318174834844065,0.21139960055308035,26036,"-122.8,35.0,-118.2,40.4"
California Central Valley,2016-12-01,2016,12,0.4439588189125061,0.47635000944137573,0.2855552569958927,0.2556907604314614,26051,"-122.8,35.0,-118.2,40.4"
California Central Valley,2017-01-01,2017,1,0.40095075964927673,0.44635000824928284,0.3773263641403342,0.2394472162825691,25254,"-122.8,35.0,-118.2,40.4"
California Central Valley,2017-02-01,2017,2,0.4347815215587616,0.491349995136261,0.3478533867043403,0.33498155560788007,25482,"-122.8,35.0,-118.2,40.4"
California Central Valley,2017-03-01,2017,3,0.45757806301116943,0.5213500261306763,0.30865932693058484,0.3746388693683142,25614,"-122.8,35.0,-118.2,40.4"
California Central Valley,2017-04-01,2017,4,0.4710474908351898,0.5213500261306763,0.26235963817841546,0.3737133499688085,25648,"-122.8,35.0,-118.2,40.4"
California Central Valley,2017-05-01,2017,5,0.4410898685455322,0.45385000109672546,0.269161512565568,0.23792374540045408,25546,"-122.8,35.0,-118.2,40.4"
California Central Valley,2017-06-01,2017,6,0.4111950397491455,0.4013499915599823,0.3255741654684646,0.1809349862044845,25733,"-122.8,35.0,-118.2,40.4"
California Central Valley,2017-07-01,2017,7,0.40091177821159363,0.3788500130176544,0.36497922757347284,0.183412832743499,25996,"-122.8,35.0,-118.2,40.4"
California Central Valley,2017-08-01,2017,8,0.3932352066040039,0.3713499903678894,0.38015261321369687,0.1769623068369186,26079,"-122.8,35.0,-118.2,40.4"
